TIMES commodity,Description,Unit,Sector,Type,Cluster,PyPSA Energy Carrier,Upstream commodity,Upstream process,Comment,Aggregation Level 1,Aggregation Level 2,sankey_overview,custom,Notes
RSDHET,Heat for Residential sector,PJ,RSD,,Heat for Residential sector,Heat for Residential sector,,,District heating network with centralized CHP (ELCHET) and/or recovered excess heat from industry (INDHWT),Heat for Residential sector,Heat for Residential sector,Heat,Heat for Residential sector,
COMHET,Heat for commercial sector,PJ,COM,,Heat for commercial sector,Heat for commercial sector,,,District heating network with centralized CHP (ELCHET) and/or recovered excess heat from industry (INDHWT),Heat for commercial sector,Heat for commercial sector,Heat,Heat for commercial sector,
TRAGH2,H2 for transport (gas),PJ,SUP,,H2 for transport,H2 for transport,,,,H2 for transport,H2 for transport,Hydrogen,H2 for transport,
TRALH2,H2 for transport (liquid),PJ,SUP,,H2 for transport,H2 for transport,,,,H2 for transport,H2 for transport,Hydrogen,H2 for transport,
INDHH2,hydrogen for industry,PJ,SUP,,hydrogen for industry,hydrogen for industry,,,,hydrogen for industry,hydrogen for industry,Hydrogen,hydrogen for industry,
TRAETH,Ethanol for transport,PJ,TRA,,total energy for transport,total energy for transport,,,pure bioethanol,total energy for transport,total energy for transport,Biomass & biofuels,Biomass & biofuels (context),
TRABDL,Biodiesel for transport,PJ,TRA,,total energy for transport,total energy for transport,,,pure biodiesiel,total energy for transport,total energy for transport,Biomass & biofuels,Biomass & biofuels (context),
OILKER,Kerosenes - Jet Fuels,PJ,SUP,,Kerosenes - Jet Fuels,Kerosenes - Jet Fuels,,,,Kerosenes - Jet Fuels,Kerosenes - Jet Fuels,Oil products,Kerosenes - Jet Fuels,
BIORME,Biodiesel rapeseed methyl ester (RME),PJ,SUP,,Biodiesel rapeseed methyl ester (RME),Biodiesel rapeseed methyl ester (RME),,,,Biodiesel rapeseed methyl ester (RME),Biodiesel rapeseed methyl ester (RME),Biomass & biofuels,Biomass & biofuels (context),
RW3F,hot water for 3F houses,PJ,RSD,,BEWAL residential rural heat,Heat,,,,BEWAL residential rural heat,Heat,Heat,Heat,
RSDGSL,Gasoline for Residential sector,PJ,RSD,,Gasoline for Residential sector,Gasoline for Residential sector,,,,Gasoline for Residential sector,Gasoline for Residential sector,Oil products,Oil products (context),
BIOCRP1,Starch crops,PJ,SUP,,Starch crops,Starch crops,,,,Starch crops,Starch crops,Biomass & biofuels,Biomass & biofuels (context),
RENHYD,Hydro,PJ,SUP,,Hydro,Hydro,,,,Hydro,Hydro,Electricity,Hydro,
BIORPOIL,Rape seed oil,PJ,SUP,,Rape seed oil,Rape seed oil,,,,Rape seed oil,Rape seed oil,Biomass & biofuels,Biomass & biofuels (context),
RH4F,space heating for 4f houses,PJ,RSD,,BEWAL residential rural heat,Heat,,,,BEWAL residential rural heat,Heat,Heat,Heat,
BIODST,Diesel from Biomass,PJ,SUP,,Other fuels,Diesel from Biomass,,,,Other fuels,Diesel from Biomass,Biomass & biofuels,Biomass & biofuels (context),
BIORPS,Biomass: Rapeseed,PJ,SUP,,Biomass,Biomass: Rapeseed,,,,Biomass,Biomass: Rapeseed,Biomass & biofuels,Biomass & biofuels (context),
ELCWIN,Electricity: Wind,PJ,ELC,,Electricity: Wind,Electricity: Wind,,,,Electricity: Wind,Electricity: Wind,Electricity,Electricity: Wind,
ELCSOL,Electricity: Solar,PJ,ELC,,Electricity: Solar,Electricity: Solar,,,,Electricity: Solar,Electricity: Solar,Electricity,Electricity: Solar,
RWAP,hot water for apartments,PJ,RSD,,BEWAL residential urban decentral heat,Heat,,,,BEWAL residential urban decentral heat,Heat,Heat,Heat,
COMGSL,Gasoline for Commercial sector,PJ,COM,,Gasoline for Commercial sector,Gasoline for Commercial sector,,,,Gasoline for Commercial sector,Gasoline for Commercial sector,Oil products,Oil products (context),
GASBFT,GAS from Blast Furnace TGR,PJ,IND,,GAS from Blast Furnace TGR,GAS from Blast Furnace TGR,,,,GAS from Blast Furnace TGR,GAS from Blast Furnace TGR,Gas,Gas (context),
OILGSL,Fuel: Gasoline,PJ,SUP,,Fuel: Gasoline,Fuel: Gasoline,,,,Fuel: Gasoline,Fuel: Gasoline,Oil products,Gasoline,
